date_time,price,type
2023-09-03 16:00:00,9.83e-06,bullish
2023-09-05 08:00:00,9.99e-06,bullish
2023-10-16 08:00:00,9.05e-06,bearish
2023-10-31 20:00:00,8.41e-06,bullish
2023-11-04 20:00:00,9.37e-06,bullish
2023-11-17 20:00:00,9.95e-06,bearish
2023-11-22 04:00:00,1.014e-05,bullish
2024-01-20 08:00:00,1.235e-05,bearish
2024-01-26 00:00:00,1.163e-05,bearish
2024-01-26 08:00:00,1.172e-05,bullish
2024-02-03 16:00:00,1.201e-05,bearish
2024-02-06 20:00:00,1.163e-05,bearish
2024-02-12 08:00:00,1.111e-05,bearish
2024-03-31 04:00:00,9.22e-06,bearish
2024-04-03 04:00:00,8.86e-06,bullish
2024-04-07 20:00:00,8.45e-06,bearish
2024-04-10 04:00:00,8.37e-06,bullish
2024-04-11 08:00:00,8.34e-06,bearish
2024-04-19 04:00:00,7.16e-06,bullish
2024-04-28 12:00:00,7.33e-06,bullish
2024-05-04 04:00:00,7.43e-06,bearish
2024-05-04 16:00:00,7.33e-06,bearish
2024-05-06 08:00:00,7.25e-06,bearish
2024-05-08 08:00:00,7.08e-06,bullish
2024-05-10 08:00:00,7.35e-06,bearish
2024-05-30 00:00:00,6.67e-06,bearish
2024-05-31 20:00:00,6.62e-06,bearish
2024-06-01 16:00:00,6.62e-06,bullish
2024-06-09 04:00:00,6.31e-06,bullish
2024-06-11 20:00:00,6.23e-06,bearish
2024-06-12 20:00:00,6.42e-06,bearish
2024-06-14 00:00:00,6.31e-06,bearish
2024-06-18 04:00:00,5.78e-06,bearish
2024-06-19 16:00:00,5.94e-06,bearish
2024-06-22 08:00:00,5.86e-06,bullish
2024-06-28 16:00:00,6.42e-06,bearish
2024-06-29 08:00:00,6.46e-06,bearish
2024-07-09 04:00:00,6.46e-06,bullish
2024-07-19 12:00:00,6.53e-06,bearish
2024-08-13 20:00:00,5.63e-06,bearish
2024-08-14 16:00:00,5.68e-06,bullish
2024-08-18 16:00:00,5.66e-06,bullish
2024-08-31 08:00:00,5.88e-06,bullish
2024-09-13 00:00:00,6.13e-06,bullish
2024-09-21 08:00:00,5.63e-06,bullish
2024-09-25 20:00:00,6.05e-06,bullish
2024-10-03 16:00:00,5.61e-06,bullish
2024-10-09 04:00:00,5.53e-06,bearish
2024-10-11 12:00:00,5.62e-06,bearish
2025-01-01 00:00:00,9.12e-06,bullish
2025-03-16 04:00:00,8.78e-06,bearish
2025-03-23 20:00:00,8.26e-06,bullish
2025-04-04 00:00:00,7.84e-06,bullish
2025-04-05 12:00:00,7.83e-06,bearish
2025-04-14 08:00:00,7.63e-06,bearish
2025-04-20 04:00:00,7.42e-06,bearish
2025-05-20 12:00:00,6.92e-06,bearish
2025-06-28 12:00:00,5.25e-06,bullish
2025-06-28 20:00:00,5.29e-06,bearish
2025-07-02 00:00:00,5.16e-06,bullish
2025-07-03 00:00:00,5.46e-06,bullish
2025-07-24 16:00:00,6.88e-06,bearish
2025-07-26 20:00:00,6.96e-06,bullish
2025-07-27 16:00:00,6.98e-06,bullish
2025-08-06 12:00:00,6.43e-06,bullish
2025-08-10 20:00:00,6.7e-06,bullish
2025-08-13 16:00:00,7.22e-06,bullish
